Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
113,Chris Duhon,PG,24,CHI,78,1906,11.9,.529,.507,.209,1.4,8.7,5.1,24.4,1.9,0.2,16.6,14.8,0,1.9,3.0,4.8,.121,0,-0.1,0.1,0.0,1.0
114,Tim Duncan,C,30,SAS,80,2726,26.1,.579,.008,.502,9.8,27.0,18.8,18.8,1.3,5.1,14.0,27.9,0,6.3,6.8,13.0,.230,0,2.0,5.1,7.1,6.3
115,Mike Dunleavy,SG-PF,26,TOT,82,2580,14.1,.542,.264,.316,3.6,15.5,9.4,14.2,1.6,0.6,13.3,19.0,0,2.6,2.5,5.1,.095,0,-0.1,0.3,0.2,1.4
116,Ronald Dupree,SF,26,DET,19,94,7.4,.358,.000,.290,6.3,15.2,10.7,8.5,2.9,0.8,7.9,19.2,0,-0.2,0.2,0.0,-0.007,0,-6.0,0.4,-5.6,-0.1
117,Monta Ellis,SG,21,GSW,77,2638,15.0,.545,.142,.354,2.5,7.7,5.1,18.8,2.4,0.6,15.9,22.4,0,2.0,1.9,4.0,.072,0,-0.4,-0.6,-1.0,0.7
118,Francisco Elson,C,30,SAS,70,1332,11.2,.552,.007,.284,7.7,22.2,15.2,6.4,1.2,3.3,21.3,14.4,0,0.2,2.9,3.1,.111,0,-3.7,3.4,-0.3,0.6
119,Melvin Ely,PF-C,28,TOT,30,309,5.2,.442,.000,.588,5.7,14.8,10.2,9.0,1.0,2.0,21.8,19.1,0,-0.6,0.3,-0.3,-0.039,0,-7.1,-0.1,-7.2,-0.4
120,Maurice Evans,SG,28,LAL,76,1732,12.1,.523,.245,.286,6.3,8.6,7.5,6.7,1.1,0.6,8.5,17.3,0,2.0,0.6,2.6,.072,0,-0.7,-2.2,-2.9,-0.4
121,Reggie Evans,PF,26,DEN,66,1127,13.5,.550,.000,.851,15.8,29.9,23.0,5.7,1.8,1.0,24.3,14.8,0,0.4,1.9,2.3,.096,0,-2.7,1.1,-1.6,0.1
122,Daniel Ewing,PG,23,LAC,61,712,9.3,.495,.273,.280,1.5,10.7,6.1,19.8,2.4,0.4,21.7,15.0,0,-0.3,0.7,0.5,.033,0,-3.3,-0.7,-4.0,-0.4
123,Jordan Farmar,PG,20,LAL,72,1090,10.8,.515,.466,.129,2.4,10.3,6.4,19.0,2.1,0.5,19.0,15.8,0,0.2,0.7,0.9,.038,0,-1.6,-1.4,-2.9,-0.3
124,Desmon Farmer,SG,25,SEA,8,32,15.4,.421,.533,.067,0.0,3.8,1.9,46.0,1.6,0.0,6.1,23.3,0,0.0,0.0,0.0,.074,0,1.4,-7.8,-6.4,0.0
125,Raymond Felton,PG,22,CHA,78,2832,13.5,.481,.305,.250,2.1,9.3,5.6,32.0,2.2,0.3,16.8,21.9,0,0.2,2.1,2.3,.039,0,0.2,-0.9,-0.7,1.0
